message,emotion,distil-result
Hi I am Srijan Chat Bot. Welcome to Srijan. What can I help you with today ,Positive,0
What can I help you with today  Property Requirement,Neutral,2
Property Requirement Sure. I will assist you in shortlisting the properties of your choice based on a few questions. I d like to get to know you first.,Positive,0
Sure. I will assist you in shortlisting the properties of your choice based on a few questions. I d like to get to know you first. Let s start with your name.,Positive,0
Let s start with your name. Richa Deb,Neutral,2
Richa Deb That s a lovely name Deb ,Positive,0
That s a lovely name Deb  A phone number we can contact you on .,Positive,0
A phone number we can contact you on . 9.19594E+11,Neutral,2
9.19594E+11 What kind of property are you looking for ,Positive,0
What kind of property are you looking for  Residential,Positive,0
Residential How many bedrooms are you looking for ,Positive,0
How many bedrooms are you looking for  2 BHK,Positive,0
2 BHK Which location within Kolkata are you looking for ,Neutral,2
Which location within Kolkata are you looking for  3 BHK,Neutral,2
3 BHK Which location within Kolkata are you looking for ,Neutral,2
Which location within Kolkata are you looking for  North Kolkata,Neutral,2
North Kolkata We have the following properties within North Kolkata,Neutral,2
We have the following properties within North Kolkata Eternis on Jessore Road,Neutral,2
Eternis on Jessore Road Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive,0
Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive,0
Take a look at Go back to Main Menu,Positive,0
Go back to Main Menu What kind of property are you looking for ,Positive,0
What kind of property are you looking for  Residential,Positive,0
Residential How many bedrooms are you looking for ,Positive,0
How many bedrooms are you looking for  2 BHK,Positive,0
2 BHK Which location within Kolkata are you looking for ,Neutral,2
Which location within Kolkata are you looking for  North Kolkata,Neutral,2
North Kolkata We have the following properties within North Kolkata,Neutral,2
We have the following properties within North Kolkata Eternis,Neutral,2
Eternis We have Eternis on Jessore Road. Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive,0
We have Eternis on Jessore Road. Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive,0
Take a look at Location,Neutral,2
Location ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station,Positive,0
ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station Take a look at,Positive,0
Take a look at Go back to Main Menu,Positive,0
Go back to Main Menu What kind of property are you looking for ,Positive,0
What kind of property are you looking for  Residential,Positive,0
Residential How many bedrooms are you looking for ,Positive,0
How many bedrooms are you looking for  3 BHK,Positive,0
3 BHK Which location within Kolkata are you looking for ,Neutral,2
Which location within Kolkata are you looking for  North Kolkata,Neutral,2
North Kolkata We have the following properties within North Kolkata,Neutral,2
We have the following properties within North Kolkata Eternis on Jessore Road,Neutral,2
Eternis on Jessore Road Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive,0
Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive,0
Take a look at Location,Neutral,2
Location ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station,Positive,0
