message,emotion
Hi I am Srijan Chat Bot. Welcome to Srijan. What can I help you with today ,Positive
What can I help you with today  Property Requirement,Neutral
Property Requirement Sure. I will assist you in shortlisting the properties of your choice based on a few questions. I d like to get to know you first.,Positive
Sure. I will assist you in shortlisting the properties of your choice based on a few questions. I d like to get to know you first. Let s start with your name.,Positive
Let s start with your name. Richa Deb,Neutral
Richa Deb That s a lovely name Deb ,Positive
That s a lovely name Deb  A phone number we can contact you on .,Positive
A phone number we can contact you on . 9.19594E+11,Neutral
9.19594E+11 What kind of property are you looking for ,Positive
What kind of property are you looking for  Residential,Positive
Residential How many bedrooms are you looking for ,Positive
How many bedrooms are you looking for  2 BHK,Positive
2 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  3 BHK,Neutral
3 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  North Kolkata,Neutral
North Kolkata We have the following properties within North Kolkata,Neutral
We have the following properties within North Kolkata Eternis on Jessore Road,Neutral
Eternis on Jessore Road Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive
Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive
Take a look at Go back to Main Menu,Positive
Go back to Main Menu What kind of property are you looking for ,Positive
What kind of property are you looking for  Residential,Positive
Residential How many bedrooms are you looking for ,Positive
How many bedrooms are you looking for  2 BHK,Positive
2 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  North Kolkata,Neutral
North Kolkata We have the following properties within North Kolkata,Neutral
We have the following properties within North Kolkata Eternis,Neutral
Eternis We have Eternis on Jessore Road. Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive
We have Eternis on Jessore Road. Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive
Take a look at Location,Neutral
Location ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station,Positive
ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station Take a look at,Positive
Take a look at Go back to Main Menu,Positive
Go back to Main Menu What kind of property are you looking for ,Positive
What kind of property are you looking for  Residential,Positive
Residential How many bedrooms are you looking for ,Positive
How many bedrooms are you looking for  3 BHK,Positive
3 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  North Kolkata,Neutral
North Kolkata We have the following properties within North Kolkata,Neutral
We have the following properties within North Kolkata Eternis on Jessore Road,Neutral
Eternis on Jessore Road Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive
Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive
Take a look at Location,Neutral
Location ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station,Positive
ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station Take a look at,Positive
Take a look at Price,Neutral
Price The price of 3BHK flats start from Rs 48 lacs onwards,Neutral
The price of 3BHK flats start from Rs 48 lacs onwards Take a look at,Neutral
Take a look at Eternia,Neutral
Eternia Imagine a vibrant city life surrounded by the quiet foot prints of nature. Opposite to NSG hub on Badu road and 2.2 km from Madhyamgram Chowmatha Eternia will be an urban living habitat engulfed byacres of green paradise. Native birds regional trees and a large natural water body surround the locality. A simple walk round this place would take you to a quaint fiction. Eternia will be the new Madhyamgram.,Positive
Imagine a vibrant city life surrounded by the quiet foot prints of nature. Opposite to NSG hub on Badu road and 2.2 km from Madhyamgram Chowmatha Eternia will be an urban living habitat engulfed byacres of green paradise. Native birds regional trees and a large natural water body surround the locality. A simple walk round this place would take you to a quaint fiction. Eternia will be the new Madhyamgram. Take a look at,Positive
Take a look at Location,Neutral
Location Eternia is on Badu Road Madhyamgram,Neutral
Eternia is on Badu Road Madhyamgram Take a look at,Neutral
Take a look at Go back to Main Menu,Positive
Go back to Main Menu What kind of property are you looking for ,Positive
What kind of property are you looking for  Residential,Positive
Residential How many bedrooms are you looking for ,Positive
How many bedrooms are you looking for  3 BHK,Positive
3 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  North Kolkata,Neutral
North Kolkata We have the following properties within North Kolkata,Neutral
We have the following properties within North Kolkata Eternis on Jessore Road,Neutral
Eternis on Jessore Road Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area.,Positive
Eternis is located on Jessore Road Doltala More North Kolkata. The project houses 2 3 4BHK apartments and spreads over 345 cottahs of Land Area. Take a look at,Positive
Take a look at Location,Neutral
Location ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station,Positive
ETERNIS is on Jessore Road Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area. Just 3 km from New Barrackpur Railway Station Just 6 km distance from Dumdum Airport Just 1.2 km from Madhyamgram Chowmatha 13.5 Km from Dumdum Metro Station 900 m from Upcoming New barrakpore Metro Station Take a look at,Positive
Take a look at Go back to Main Menu,Positive
Go back to Main Menu What kind of property are you looking for ,Positive
What kind of property are you looking for  Residential,Positive
Residential How many bedrooms are you looking for ,Positive
How many bedrooms are you looking for  3 BHK,Positive
3 BHK Which location within Kolkata are you looking for ,Neutral
Which location within Kolkata are you looking for  South Kolkata,Neutral
South Kolkata We have the following properties within South Kolkata,Neutral
We have the following properties within South Kolkata Greenfield City near Behala Chowrasta metro,Positive
Greenfield City near Behala Chowrasta metro Greenfield City Project LLP is a Limited Liability Partnership between Bengal Greenfield Housing Development Company Limited (BGHDCL) Srijan Realty Private Limited (SRPL) located on Jote Sibrampur Road near Behala Chowrasta Metro South West Kolkata. The project soars skywards housing luxurious 3BHK high rise apartments.,Positive
Greenfield City Project LLP is a Limited Liability Partnership between Bengal Greenfield Housing Development Company Limited (BGHDCL) Srijan Realty Private Limited (SRPL) located on Jote Sibrampur Road near Behala Chowrasta Metro South West Kolkata. The project soars skywards housing luxurious 3BHK high rise apartments. Take a look at,Positive
Take a look at Location,Neutral
