,thread_id,created_at,created_by,message
6,00970813d44d49ad913f52b79706e6bc,2021-11-11T09:27:56.867000+00:00,Customer,Others
7,00970813d44d49ad913f52b79706e6bc,2021-11-11T09:27:57.082000+00:00,Bot,"If your query is not listed above, please call us at 033 4040 2020 or mail us at info@srijanrealty.com."
12,017ea0b6a49640c68d3eb1a775e1c2f9,2021-07-26T12:03:38.442000+00:00,Bot,What can I help you with today?
13,017ea0b6a49640c68d3eb1a775e1c2f9,2021-07-26T12:03:45.307000+00:00,Customer,Complaint
14,017ea0b6a49640c68d3eb1a775e1c2f9,2021-07-26T12:03:45.468000+00:00,Bot,"I am sorry to hear that. Please drop in your complaint at care@srijanrealty.com.

Incase you are an existing customer of any Srijan property, please mention your property name, flat/unit number and other details in the mail."
22,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:50:25.734000+00:00,Bot,What can I help you with today?
23,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:51:07.852000+00:00,Bot,A phone number we can contact you on?.
24,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:51:15.278000+00:00,Customer,+913760603979
25,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:51:24.345000+00:00,Customer,1 BHK
26,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:51:24.684000+00:00,Bot,Take a look at
27,02074f36de9e464798b2dca2dae7d944,2021-11-11T03:51:59.934000+00:00,Bot,"Phase I - June 2019 + 6 Months Grace period

Phase II - Mid 2020 + 6 Months Grace period "
33,027d4a7498334816895c6aeb907043a7,2021-11-11T06:22:43.376000+00:00,Bot,What can I help you with today?
34,027d4a7498334816895c6aeb907043a7,2021-11-11T06:22:54.278000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
35,027d4a7498334816895c6aeb907043a7,2021-11-11T06:23:11.202000+00:00,Bot,A phone number we can contact you on?.
36,027d4a7498334816895c6aeb907043a7,2021-11-11T06:23:35.252000+00:00,Customer,Residential
37,027d4a7498334816895c6aeb907043a7,2021-11-11T06:24:10.658000+00:00,Customer,Central Kolkata
38,027d4a7498334816895c6aeb907043a7,2021-11-11T06:24:17.836000+00:00,Bot,Here are the properties located within East Kolkata
39,027d4a7498334816895c6aeb907043a7,2021-11-11T06:24:46.829000+00:00,Bot,Take a look at
40,027d4a7498334816895c6aeb907043a7,2021-11-11T06:24:56.581000+00:00,Bot,Take a look at
41,027d4a7498334816895c6aeb907043a7,2021-11-11T06:28:05.571000+00:00,Customer,90l
55,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:19:49.020000+00:00,Customer,Residential
56,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:19:55.889000+00:00,Customer,3 BHK
57,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:21:16.636000+00:00,Bot,Take a look at
58,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:22:42.922000+00:00,Bot,How else can we help you?
59,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:23:56.216000+00:00,Customer,Price
60,04a67e8749134e96a2592f791c244fc7,2021-11-09T05:23:56.737000+00:00,Bot,The price of 3BHK flats start from Rs 48 lacs onwards
61,04b609bf880642a3a55abe62147b4bfa,2021-07-26T11:29:21.039000+00:00,Bot,Let's start with your name.
62,04b609bf880642a3a55abe62147b4bfa,2021-07-26T11:30:26.559000+00:00,Customer,Nikunj
63,04b609bf880642a3a55abe62147b4bfa,2021-07-26T11:30:49.405000+00:00,Customer,2 BHK
64,04b609bf880642a3a55abe62147b4bfa,2021-07-26T11:31:12.375000+00:00,Bot,We have the following properties within North Kolkata
65,04b609bf880642a3a55abe62147b4bfa,2021-07-26T11:31:25.376000+00:00,Bot,"We have Eternis on Jessore Road.

Eternis is located on Jessore Road, Doltala More, North Kolkata. The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
75,056aa38c1374493286dcc3a89ae23d46,2021-08-01T17:59:29.079000+00:00,Bot,A phone number we can contact you on?.
76,056aa38c1374493286dcc3a89ae23d46,2021-08-01T18:00:11.431000+00:00,Customer,South Kolkata
77,056aa38c1374493286dcc3a89ae23d46,2021-08-01T18:00:11.583000+00:00,Bot,We have the following properties in South Kolkata
78,056aa38c1374493286dcc3a89ae23d46,2021-08-01T18:00:17.272000+00:00,Bot,Take a look at
79,056aa38c1374493286dcc3a89ae23d46,2021-08-01T18:00:29.273000+00:00,Bot,"We have designed a state of the art Experience Centre to show you everything you may want to know about the project.

Lets get you there!"
80,056aa38c1374493286dcc3a89ae23d46,2021-08-01T18:00:43.536000+00:00,Bot,"Lastly, your preferred budget?"
89,0692a22ec7794fb88b8072f8cac54fd8,2021-11-10T12:58:07.757000+00:00,Customer,Job Related Inquiry
90,0692a22ec7794fb88b8072f8cac54fd8,2021-11-10T12:58:08.138000+00:00,Bot,"I am happy to know that you are interested to join Srijan Realty. Please drop your CV at hr@srijanrealty.com.

Someone from our HR department will get back to you incase your CV matched with any of our requirements."
91,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:48:12.749000+00:00,Bot,A phone number we can contact you on?.
92,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:48:20.676000+00:00,Bot,What kind of property are you looking for?
93,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:48:30.232000+00:00,Customer,3 BHK
94,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:48:46.887000+00:00,Customer,Nirvana
95,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:49:11.642000+00:00,Customer,Available Sizes & Floor Plans
96,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:50:12.332000+00:00,Customer,Pricing
97,069ca800c3a947fa83fd9b2c5ed61120,2021-07-23T08:50:23.530000+00:00,Customer,Pricing
99,06c1cb13bd2b4a97bbbb828fb5495268,2021-07-28T11:11:20.079000+00:00,Bot,What can I help you with today?
100,06c1cb13bd2b4a97bbbb828fb5495268,2021-07-28T11:11:46.679000+00:00,Bot,Which location within Kolkata are you looking for?
101,06c1cb13bd2b4a97bbbb828fb5495268,2021-07-28T11:11:49.592000+00:00,Customer,North Kolkata
102,06c1cb13bd2b4a97bbbb828fb5495268,2021-07-28T11:11:50.269000+00:00,Bot,We have the following properties within North Kolkata
103,06c1cb13bd2b4a97bbbb828fb5495268,2021-07-28T11:12:04.288000+00:00,Bot,"We already have your name and contact number.

Could you also please share an email id of yours to send our project details?"
124,07cccb98137440919384449a7b94ec01,2021-11-10T09:16:36.433000+00:00,Customer,Property Requirement
126,07e134864f73424daeb481f65364e8b5,2021-07-24T14:42:23.676000+00:00,Customer,Property Requirement
127,07e134864f73424daeb481f65364e8b5,2021-07-24T14:42:23.872000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
128,07e134864f73424daeb481f65364e8b5,2021-07-24T14:42:38.684000+00:00,Bot,"That's a lovely name, Barun Rai!"
129,07e134864f73424daeb481f65364e8b5,2021-07-24T14:42:56.270000+00:00,Customer,Residential
130,07e134864f73424daeb481f65364e8b5,2021-07-24T14:43:02.436000+00:00,Bot,Which location within Kolkata are you looking for?
131,07e134864f73424daeb481f65364e8b5,2021-07-24T14:43:14.145000+00:00,Bot,Take a look at
132,07e134864f73424daeb481f65364e8b5,2021-07-24T14:44:56.351000+00:00,Customer,Schedule a Visit/Get a Callback
136,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:33:58.238000+00:00,Bot,What can I help you with today?
137,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:34:09.570000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
138,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:34:32.380000+00:00,Customer,Debi Dutta
139,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:34:45.956000+00:00,Customer,+919903162675
140,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:34:58.645000+00:00,Bot,Which location within Kolkata are you looking for?
141,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:35:40.837000+00:00,Customer,East Kolkata
142,083b9620b176404fb04dd68db5b2d8d8,2021-08-03T08:35:50.837000+00:00,Bot,"Panache is one of our most prestigious residential condo projects till date, a resplendent rendezvous on the water’s edge in ‘happening’ Sector V, Salt Lake.

All apartments are Vaastu-compliant, with at least three sides open. Project elevation designed to exude positive and uplifting feel.

It rises head and shoulders above the ambient skyline of Kolkata’s IT district, bringing together some of the finest consultants in the business."
