,thread_id,created_at,created_by,message
0,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:25.878000+00:00,Bot,We have the following properties within South Kolkata
1,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:19.649000+00:00,Customer,3 BHK
2,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:37.917000+00:00,Bot,"Ozone is located on EM Bypass, Near Shahid Khudiram Metro, South Kolkata.

The project comprises of 450 plus luxury home with 2, 3 & 4BHK options."
3,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:26.312000+00:00,Bot,In 3 BHK we have different sizes available from 1071 sqft to 1645 sqft
4,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:49.781000+00:00,Customer,Available Sizes & Floor Plans
5,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:54:14.767000+00:00,Customer,Possession
6,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:08.290000+00:00,Customer,+919830853923
7,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:06.328000+00:00,Customer,"Southwinds on Chowhati More, Narendrapur"
8,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:07.370000+00:00,Bot,"Spread over 630 cottahs of land, Southwinds is a home that is not just a manifestation of your dreams, but beyond that. Here every space embodies joy and comfort and every facility infuses a spirit of celebration.

First high rise residential project in the southern bypass, Southwinds brings to life world class luxury and comfort. 1323 apartments in 10 blocks and G +11 floors, Southwinds has enough greenery and open spaces to submerge you in peace and harmony.

Feel the unrestricted tranquility with a vast frontage. Let the world class lifestyle features pamper you. Be all set for the perfect living."
9,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:37.918000+00:00,Bot,Take a look at
10,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:37.805000+00:00,Customer,"Ozone on E M Bypass main road, Near Sahid Khudiram Metro"
11,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:54:01.212000+00:00,Bot,Take a look at
12,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:54:00.986000+00:00,Customer,Price
13,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T11:55:23.143000+00:00,Bot,
14,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:16.147000+00:00,Customer,Residential
15,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:17.070000+00:00,Bot,How many bedrooms are you looking for?
16,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:17.112000+00:00,Bot,"We have the following sizes available in 3 BHK.

Click on one to check the unit plan."
17,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:19.817000+00:00,Bot,Which location within Kolkata are you looking for?
18,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:52:25.507000+00:00,Customer,South Kolkata
19,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:26.147000+00:00,Customer,Available Sizes & Floor Plans
20,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:53:26.313000+00:00,Bot,Take a look at
21,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:54:01.211000+00:00,Bot,The price of 3BHK flats start from Rs. 91.33 lacs onwards
22,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:51:32.318000+00:00,Bot,Let's start with your name.
23,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:51:56.948000+00:00,Customer,Mr. Ghosh
24,0e4dc114998a4ecabf64a1b7aaf07e01,2021-07-11T09:51:32.317000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
