thread_id,created_at,created_by,message
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:07:34.674000+00:00,Bot,hi I be srijan chat bot welcome to srijan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:07:34.675000+00:00,Bot,what can I help you with today
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:07:46.555000+00:00,Customer,property requirement
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:07:46.736000+00:00,Bot,sure I will assist you in shortlist the property of your choice base on a few question I d like to get to know you first
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:07:46.737000+00:00,Bot,let s start with your name
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:08:42.005000+00:00,Customer,property requirement
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:08:42.172000+00:00,Bot,sure I will assist you in shortlist the property of your choice base on a few question I d like to get to know you first
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:08:42.173000+00:00,Bot,let s start with your name
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:09:02.788000+00:00,Customer,nafisa arfa
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:09:03.290000+00:00,Bot,that s a lovely name nafisa arfa
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:09:03.291000+00:00,Bot,a phone number we can contact you on
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:10:47.367000+00:00,Customer,+917001545944
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:10:47.844000+00:00,Bot,what kind of property be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:10:53.793000+00:00,Customer,residential
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:10:54.148000+00:00,Bot,how many bedroom be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:01.155000+00:00,Customer,2 bhk
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:01.381000+00:00,Bot,which location within kolkata be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:14.610000+00:00,Customer,east kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:14.849000+00:00,Bot,we have panache on mahisbathan behind sector 5 in east kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:14.850000+00:00,Bot,panache be one of our most prestigious residential condo project till date a resplendent rendezvous on the water s edge in happen sector v salt lake all apartment be vaastu compliant with at least three side open project elevation design to exude positive and uplifting feel it rise head and shoulder above the ambient skyline of kolkata s it district bring together some of the fine consultant in the business
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:14.851000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:31.555000+00:00,Customer,go back to main menu
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:31.680000+00:00,Bot,what kind of property be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:38.615000+00:00,Customer,residential
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:38.779000+00:00,Bot,how many bedroom be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:41.478000+00:00,Customer,2 bhk
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:42.073000+00:00,Bot,which location within kolkata be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:45.335000+00:00,Customer,north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:45.403000+00:00,Bot,we have the follow property within north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:55.241000+00:00,Customer,eterni
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:55.548000+00:00,Bot,we have eterni on jessore road eternis be locate on jessore road doltala more north kolkata the project house 2 3 4bhk apartment and spread over 345 cottah of land area
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:11:55.549000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:12:24.689000+00:00,Customer,available size floor plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:12:24.874000+00:00,Bot,we have the follow size available in 2 bhk click on one to check the unit plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:12:36.843000+00:00,Customer,872 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:12:37.177000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:22:29.951000+00:00,Customer,823 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:22:30.153000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:23:46.653000+00:00,Customer,864 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:23:46.873000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:25:38.366000+00:00,Customer,available size floor plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:25:38.739000+00:00,Bot,we have the follow size available in 2 bhk click on one to check the unit plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:02.336000+00:00,Customer,3 bhk
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:02.546000+00:00,Bot,which location within kolkata be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:12.566000+00:00,Customer,north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:12.946000+00:00,Bot,we have the follow property within north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:23.767000+00:00,Customer,eterni on jessore road
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:23.951000+00:00,Bot,eternis be locate on jessore road doltala more north kolkata the project house 2 3 4bhk apartment and spread over 345 cottah of land area
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:23.952000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:45.861000+00:00,Customer,available size floor plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:26:46.069000+00:00,Bot,we have the follow size available in 3 bhk click on one to check the unit plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:27:03.446000+00:00,Customer,1049sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:27:03.641000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:28:36.888000+00:00,Customer,1070 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:28:37.051000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:29:56.566000+00:00,Customer,1105 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:29:56.699000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:31:27.127000+00:00,Customer,1252 sqft
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:31:27.444000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:33:52.418000+00:00,Customer,price
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:33:52.814000+00:00,Bot,the price of 3bhk flat start from rs 48 lac onwards
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:33:52.815000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:05.618000+00:00,Customer,possession
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:05.779000+00:00,Bot,follow be the possesion date of the available block block 1 31st july 2022 plus 1 year grace period block 2 dec 2022 + 1 yr grace period block 3 dec 2020 +1yr grace period block 4 31st aug 2020 +1yr grace period block 5 30th jun 2020 + 1 yr grace period block 6 7 nov 2019 +1 yr grace period block 7 05 nov 2019 + 1 yr grace period block 8 30th apr 2021 + 1 yr grace period block 9 30th june 2021 + 1 yr grace period block 10 15th sep 2021 + 1 yr grace period block 11 31st dec 2021 + 1 year grace period block 13 30th april 2022 plus 1 year grace period
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:05.780000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:30.499000+00:00,Customer,tower
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:30.777000+00:00,Bot,there be 13 tower of b+g+11
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:30.778000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:43.656000+00:00,Customer,why eterni
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:43.850000+00:00,Bot,  situate on the good location of jessore road nh34 beside kolkata airport railway station within 2.5 k.m and upcoming metro within 1 k.m gold rate green certification with internationally design landscape zone of 55 000 sq.ft 61 open space with mango orchard 19.34 sbp that impart more space to your flat great credential of srijan realty pvt ltd ps group
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:43.851000+00:00,Bot,take a look at the image gallery below
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:34:43.858000+00:00,Bot,how else can we help you
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:35:18.825000+00:00,Customer,go back to main menu
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:35:19.074000+00:00,Bot,let s start with your name
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:35:42.222000+00:00,Customer,eternity
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:35:42.568000+00:00,Bot,a phone number we can contact you on
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:03.619000+00:00,Customer,+917001545944
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:04.094000+00:00,Bot,what kind of property be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:09.661000+00:00,Customer,residential
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:10.072000+00:00,Bot,how many bedroom be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:19.946000+00:00,Customer,3 bhk
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:20.247000+00:00,Bot,which location within kolkata be you look for
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:24.743000+00:00,Customer,north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:25.148000+00:00,Bot,we have the follow property within north kolkata
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:31.138000+00:00,Customer,eternia
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:31.280000+00:00,Bot,imagine a vibrant city life surround by the quiet foot print of nature opposite to nsg hub on badu road and 2.2 km from madhyamgram chowmatha eternia will be an urban live habitat engulf byacre of green paradise native bird regional tree and a large natural water body surround the locality a simple walk round this place would take you to a quaint fiction eternia will be the new madhyamgram
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:31.281000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:57.697000+00:00,Customer,tower
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:57.942000+00:00,Bot,this project be of 26 tower consist of 2 and 3 bhk with 914 apartment
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:36:57.943000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:37:10.497000+00:00,Customer,available size floor plan
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:37:10.737000+00:00,Bot,we have the follow size available in 3 bhk click on one to check the unit plan
