thread_id,created_at,created_by,message
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:12:56.844000+00:00,Bot,"Hi, I am Srijan Chat Bot. Welcome to Srijan."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:12:56.845000+00:00,Bot,What can I help you with today?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:13.712000+00:00,Customer,Property Requirement
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:13.874000+00:00,Bot,"Sure. I will assist you in shortlisting the properties of your choice based on a few questions.

I'd like to get to know you first."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:13.875000+00:00,Bot,Let's start with your name.
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:30.688000+00:00,Customer,Richa Deb
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:30.953000+00:00,Bot,"That's a lovely name, Deb!"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:30.954000+00:00,Bot,A phone number we can contact you on?.
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:47.643000+00:00,Customer,+919593526602
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:49.416000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:56.922000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:13:57.141000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:01.696000+00:00,Customer,2 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:01.943000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:07.162000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:07.568000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:15.801000+00:00,Customer,North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:16.078000+00:00,Bot,We have the following properties within North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:30.846000+00:00,Customer,Eternis on Jessore Road
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:31.245000+00:00,Bot,"Eternis is located on Jessore Road, Doltala More, North Kolkata.

The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:31.246000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:49.421000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:49.576000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:53.044000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:53.270000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:56.129000+00:00,Customer,2 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:56.338000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:59.301000+00:00,Customer,North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:14:59.483000+00:00,Bot,We have the following properties within North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:03.491000+00:00,Customer,Eternis
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:03.839000+00:00,Bot,"We have Eternis on Jessore Road.

Eternis is located on Jessore Road, Doltala More, North Kolkata. The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:03.840000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:12.122000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:12.277000+00:00,Bot,"ETERNIS is on Jessore Road, Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area.

● Just 3 km from New Barrackpur Railway Station
● Just 6 km distance from Dumdum Airport
● Just 1.2 km from Madhyamgram Chowmatha
● 13.5 Km from Dumdum Metro Station
● 900 m from Upcoming New barrakpore Metro Station"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:12.278000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:43.494000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:43.740000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:48.071000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:48.376000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:52.441000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:52.983000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:55.949000+00:00,Customer,North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:15:56.139000+00:00,Bot,We have the following properties within North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:00.451000+00:00,Customer,Eternis on Jessore Road
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:00.675000+00:00,Bot,"Eternis is located on Jessore Road, Doltala More, North Kolkata.

The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:00.676000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:17.709000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:18.636000+00:00,Bot,"ETERNIS is on Jessore Road, Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area.

▪ Just 3 km from New Barrackpur Railway Station
▪ Just 6 km distance from Dumdum Airport
▪ Just 1.2 km from Madhyamgram Chowmatha
▪ 13.5 Km from Dumdum Metro Station
▪ 900 m from Upcoming New barrakpore Metro Station"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:18.637000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:29.890000+00:00,Customer,Price
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:30.073000+00:00,Bot,The price of 3BHK flats start from Rs 48 lacs onwards
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:16:30.074000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:01.222000+00:00,Customer,Eternia
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:01.350000+00:00,Bot,"Imagine a vibrant city life surrounded by the quiet foot-prints of nature. Opposite to NSG hub on Badu road and 2.2 km from Madhyamgram Chowmatha – Eternia will be an urban living habitat engulfed byacres of green paradise.

Native birds, regional trees and a large natural water body surround the locality. A simple walk round this place would take you to a quaint fiction.

Eternia will be the new Madhyamgram."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:01.435000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:31.283000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:31.444000+00:00,Bot,"Eternia is on Badu Road, Madhyamgram"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:17:31.445000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:36.255000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:36.373000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:39.505000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:39.669000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:42.959000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:18:43.084000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:06.353000+00:00,Customer,North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:06.542000+00:00,Bot,We have the following properties within North Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:18.798000+00:00,Customer,Eternis on Jessore Road
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:19.137000+00:00,Bot,"Eternis is located on Jessore Road, Doltala More, North Kolkata.

The project houses 2/3/4BHK apartments and spreads over 345 cottahs of Land Area."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:19.138000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:26.193000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:26.886000+00:00,Bot,"ETERNIS is on Jessore Road, Doltala More with the best locations just minutes away. Our property is one of the most impressive ones in this area.

▪ Just 3 km from New Barrackpur Railway Station
▪ Just 6 km distance from Dumdum Airport
▪ Just 1.2 km from Madhyamgram Chowmatha
▪ 13.5 Km from Dumdum Metro Station
▪ 900 m from Upcoming New barrakpore Metro Station"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:26.887000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:33.545000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:34.137000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:37.835000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:37.969000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:42.488000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:42.776000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:46.488000+00:00,Customer,South Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:19:46.745000+00:00,Bot,We have the following properties within South Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:38.054000+00:00,Customer,Greenfield City near Behala Chowrasta metro
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:38.336000+00:00,Bot,"Greenfield City Project LLP is a Limited Liability Partnership between Bengal Greenfield Housing Development Company Limited (BGHDCL) & Srijan Realty Private Limited (SRPL) located on Jote Sibrampur Road near Behala Chowrasta Metro, South-West Kolkata.

The project soars skywards, housing luxurious 3BHK high rise apartments."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:38.337000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:57.143000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:57.368000+00:00,Bot,"Greenfield City is near Behala Chowrasta, Shibrampur with the best locations just minutes away. Our property is one of the most impressive ones in this area.
 
▪ Just 4 km from Upcoming Behala Chowrasta Metro
▪ Just 9 km from Mahanayak Uttam Kumar Metro Station
▪ Just 1.5 km from Shakuntala Park Bus Stand
▪ Super markets like Bazaar Kolkata nearby
▪ All major banks have their operating branches & ATM nearby
▪ Nearest Multiplex, Ajanta Cinema is about 9 km"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:20:57.369000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:34.235000+00:00,Customer,Pricing
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:34.439000+00:00,Bot,The price of 3BHK flats start from Rs. 58 lacs onwards
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:34.440000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:49.848000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:50.082000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:52.814000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:53.340000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:57.211000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:21:57.344000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:00.531000+00:00,Customer,Central Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:00.678000+00:00,Bot,Here are the properties located within Central Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:03.933000+00:00,Customer,South Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:04.043000+00:00,Bot,We have the following properties within South Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:07.643000+00:00,Customer,"Swapnopuron on Amtala, H H Road"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:07.874000+00:00,Bot,"Spread over 8 Bigha approx. of land, Swapno Puron Amtala, phase -1 is the first gated community residential project in Amtala, D.H Road by prestigious and renowned developers Srijan & Star Group.
Here every space embodies joy and comfort and every facility infuses a spirit of celebration.

300 + apartments in 11 blocks, G+3 floors, Swapno Puron Amtala has enough green space and a splendid water body view with all modern amenities and facilities."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:07.875000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:32.543000+00:00,Customer,Location
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:32.748000+00:00,Bot,"Swapnopuron is on Amtala D.H Road Sunny park, beside SBI and HDFC bank, Amtala Branch"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:32.835000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:48.423000+00:00,Customer,Available Sizes & Floor Plans
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:22:48.578000+00:00,Bot,"We have the following sizes available in 3 BHK.

Click on one to check the unit plan."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:01.214000+00:00,Customer,754 sqft
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:02.147000+00:00,Bot,IMAGE
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:02.148000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:38.235000+00:00,Customer,Possession
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:38.448000+00:00,Bot,"▪ Phase I - June 2019 + 6 Months Grace period  
▪ Phase II - Mid 2020 + 6 Months Grace period"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:38.449000+00:00,Bot,Take a look at
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:54.684000+00:00,Customer,Go back to Main Menu
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:54.841000+00:00,Bot,What kind of property are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:58.168000+00:00,Customer,Residential
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:23:58.343000+00:00,Bot,How many bedrooms are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:01.716000+00:00,Customer,3 BHK
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:02.077000+00:00,Bot,Which location within Kolkata are you looking for?
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:05.289000+00:00,Customer,East Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:05.435000+00:00,Bot,Here are the properties located within East Kolkata
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:17.062000+00:00,Customer,"Panache on Mahisbathan, Behind Sector 5"
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:17.347000+00:00,Bot,"Panache is one of our most prestigious residential condo projects till date, a resplendent rendezvous on the water’s edge in ‘happening’ Sector V, Salt Lake.

All apartments are Vaastu-compliant, with at least three sides open. Project elevation designed to exude positive and uplifting feel.

It rises head and shoulders above the ambient skyline of Kolkata’s IT district, bringing together some of the finest consultants in the business."
8b8c697f82ce40e4a04138383676ef5a,2021-07-28T19:24:17.348000+00:00,Bot,Take a look at
